,Serving Size (grams),Total Fat,Saturated Fat,Trans Fat,MonoUnsaturated Fat,PolyUnsaturated Fat,Cholesterol (mg),Sodium (mg) , Total Carbohydrates,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D (mcg ),Calcium (mg) ,Iron (mg),Potassium (mg),Thiamin  (mg),Niacin,Folate (mcg),Phosphorus (mg),magnessium(mg)
canolaOil,1.0,1.0,0.071428571,0.0,0.571428571,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earthBalanceButter,1.0,0.818181818,0.227272727,0.0,0.272727273,0.272727273,0.0,9.090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aquafabaButter,1.0,0.958345548,0.809621476,0.0,0.045,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ",1.0,0.958345548,0.809621476,0.0,0.045,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vegan Butter with AppleCider,yeast",1.0,0.958345548,0.809621476,0.0,0.045,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peanut Butter Powder,1.0,0.125,0.0,0.0,0.0,0.0,0.0,5.9375,0.375,0.125,0.1875,0.125,0.5,0.0,1.25,0.0225,11.75,0.0,0.0,0.0,0.0,0.0
water for Peanut Butter Powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mollasses ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357142857,1.142857143,0.071428571,1.071428571,0.0,0.0,0.0,2.142857143,0.05,14.28571429,0.0,0.0,0.0,0.0,0.714285714
Chocolate Chips,1.0,0.3,0.166666667,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.533333333,0.533333333,0.0,0.0,0.4,0.066666667,3.4,0.0,0.0,0.0,0.0,0.0
Butter,1.0,0.857142857,0.5,0.0,0.0,0.0,2.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214285714,0.0,0.214285714,0.0,0.0,0.0,0.0,0.0
sunflower butter,1.0,0.5625,0.0625,0.0,0.0,0.0,0.0,3.4375,0.125,0.0625,0.0,0.0,0.25,0.0,0.625,0.05625,7.34375,0.0,0.0,0.0,0.0,0.0
peanut butter,1.0,0.5,0.09375,0.0,0.0,0.0,0.0,3.28125,0.21875,0.09375,0.0625,0.0,0.25,0.0,0.5625,0.03125,6.28125,0.0,0.0,0.0,0.0,0.0
egg,1.0,0.105882353,0.035294118,0.0,0.0,0.0,3.764705882,1.294117647,0.011764706,0.0,0.0,0.0,0.129411765,0.017647059,0.0,0.0,1.294117647,0.0,0.0,0.0,0.0,0.0
dried blueberrries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
