,RecipeDateType,bobsRedMillwholeWheatPastryFlour,allPuroseFlour,AlmondFlour,Oatmeal,cocoaPowder,wincoWholeWheatPastryFlour,cakeFlour,bobsRedMIllPastryFlour,PeaProteinPowder,soyProteinPowder,brownRiceProteinPowder,wheyAndCaseinProteinPowder,bakingSoda(teaspoons),bakingPowder(teaspoons),cinamon(teaspoons),nutmeg(teaspoons),cardamom(teaspoons),xanthamGum(teaspoons),Salt(teaspoons),guarGuam(teaspoons),cornStarch(teaspoons),vanillaExtract(teaspoons),Almond Extract(teaspoons),naturesFlavorsButterExtract(teaspoons),espressoPowder(teaspoons),bobsRedMillEggReplacer,flaxMeal,water,chiaSeeds,ErythritlInWater,splendaInWater,whiteSugar,Powdered Erythritol,lightBrownSugar,darkBrownSugar,erythritol,xylitol,splendaSucralose,monkFruitAndAllulose,allulose,wincoMonkFruitAndErythritol,bulk suplements monk fruit extract,inulin,coconutOil,vegtableOil,canolaOil,earthBalanceButter,aquafabaButter,"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ","Vegan Butter with AppleCider,yeast",Peanut Butter Powder,water for Peanut Butter Powder,mollasses ,Chocolate Chips,Butter,sunflower butter,peanut butter,egg,dried blueberrries
10,March25trda   Sugar,0,120,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0.375,0,0,0.6666666666666666,0.25,0,0,5,0,10,0,0,3.0,36,40,0,0,0,0,0.0,0,12,0,0,0,0,0,0,0,0,70,0,0,0.0,0,0,0,0,0,0,0
11,March 25 protein Sugar,30,40,0,0,0,0,0,0,20,0,30,0,0,0.6666666666666666,0,0,0,0.375,0.375,0,0,0.6666666666666666,0.25,0,0,10,0,30,0,0,4.5,24,40,0,0,0,0,0.0,0,12,0,0,0,0,15,0,0,0,50,0,0,0.0,0,0,0,0,0,0,0
12,March 24 Trad  Sugar ,30,90,30,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0.25,0,0,0.6666666666666666,0.25,0,0,5,0,15,0,0,0.0,36,40,0,0,0,0,0.0,0,12,0,0,5,0,0,0,75,0,0,0,0,0.0,0,0,0,0,0,0,0
13,March 24 ProetinSugar ,0,0,45,0,0,0,0,0,13,0,30,0,0,0.6666666666666666,0,0,0,0.25,0.25,0,0,0.6666666666666666,0.25,0,0,0,7,45,0,0,4.8,12,0,0,0,0,0,0.0,24,0,0,0,5,0,25,0,0,0,0,50,0,0.0,0,0,0,0,0,0,0
14,March 23 Trad  Sugar ,0,120,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0.125,0,0,0.6666666666666666,0.25,0,0,0,2.5,15,0,0,4.5,38,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,0,0.0,0,0,0,0,0,0,0
15,March 23 ProetinSugar ,30,0,30,0,0,0,0,0,26,0,30,0,0,0.6666666666666666,0,0,0,0.25,0.125,0,0,0.6666666666666666,0.25,0,0,0,7,45,0,0,0.0,12,50,0,0,0,0,0.0,13,0,0,0,7,0,0,0,0,0,80,76,0,0.0,0,0,0,0,0,0,0
16,March 22 Trad  Sugar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17,March 22 ProetinSugar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18,March 21 Trad  Choco,60,65,0,0,30,0,0,0,0,0,0,0,0.5,0,0.25,0.125,0,0,0.375,0,0.5,0.25,0,0.125,0.25,10,0,30,0,0,0.0,62,0,0,0,32,0,0.0,12,36,0,0,5,45,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19,March 21 Proetin Choco ,30,0,30,0,20,0,0,0,26,0,30,0,0.5,0,0.25,0.125,0,0.25,0.375,0,0.25,0.25,0,0.125,0.25,0,11,60,0,0,0.0,24,0,0,0,0,0,6.0,24,36,0,0,10,35,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20,March 20 Trad   Choco,60,65,0,0,30,0,0,0,0,0,0,0,0.5,0,0.25,0.125,0,0,0.375,0,0.5,0.25,0,0.125,0.25,0,7,45,0,0,6.0,48,0,0,0,0,0,0.0,0,20,0,0,0,0,0,0,0,60,0,0,0,0.0,0,0,0,0,0,0,0
21,March 20 Proetin  Choco,60,0,0,0,20,0,0,0,26,0,30,0,0.5,0,0.25,0.125,0,0.25,0.375,0,0.25,0.25,0,0.125,0.25,0,11,60,0,20,0.0,19,0,0,0,50,0,0.0,0,30,0,0,10,0,15,0,0,45,0,0,0,0.0,0,0,0,0,0,0,0
22,March 19 Trad   Choco,45,60,15,0,30,0,0,0,0,0,0,0,0.5,0,0.25,0.125,0,0,0.375,0,0.5,0.25,0,0.25,0.25,0,7,45,0,20,0.0,49,0,0,0,30,0,4.5,0,0,0,0,0,45,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23,March 19 Proetin  Choco,30,0,15,0,20,0,0,0,26,13,30,0,0.5,0,0.25,0.125,0,0.25,0.375,0,0.25,0.25,0,0.25,0.25,0,0,60,11,25,0.0,24,0,0,0,40,15,4.5,20,0,0,0,10,25,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24,march 18 Trad Choco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25,March 18 Protein Choco,15,0,30,0,20,0,0,0,13,15,30,0,0,0,0.25,0,0,0.25,0.375,0,0.5,0.25,0,0.25,0.25,0,11,30,0,20,0.0,12,0,0,0,50,0,4.5,30,0,0,0,10,15,30,15,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26,march 17 Trad Choco,65,65,0,0,30,0,0,0,0,0,0,0,0,0.5,0.5,0.125,0,0,0.375,0,0.5,0.25,0,0,0.25,0,7,45,0,15,0.0,60,0,0,0,30,0,3.0,18,0,0,0,10,45,18,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27,March 17  Protein Choco,60,0,0,0,30,0,0,0,26,30,0,0,0,0.375,0.25,0.125,0,0.25,0.375,0,0.5,0.25,0,0,0.25,0,11,60,0,30,0.0,30,0,0,0,40,0,4.0,18,0,0,0,10,30,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28,march 16 Trad Choco,65,0,0,0,30,0,0,65,0,0,0,0,0,0.375,0,0,0,0,0.375,0,0.5,0.75,0,0,0.25,0,7,45,0,20,0.0,60,0,0,0,30,0,3.0,18,0,0,0,15,45,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29,March 16  Protein Choco,30,0,30,0,30,0,0,0,26,30,0,0,0,0.375,0,0,0,0.25,0.375,0,0.5,0.75,0,0,0.25,0,10,61,0,30,0.0,12,0,0,0,40,0,4.0,18,0,0,0,15,30,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30,march 15 Traditional ChipChco,45,0,0,0,0,0,0,68,0,0,0,0,0.5,0,0.25,0,0,0,0.25,0,0.75,0.25,0.125,0,0,0,2.5,16,0,8,0.0,14,0,36,0,40,0,3.0,12,0,0,0,15,60,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31,march 15 Protein ChipChco,22,0,30,0,0,0,0,0,26,30,0,0,0.5,0,0.25,0,0,0.25,0.25,0,0.5,0.25,0.125,0,0,0,10,60,0,30,0.0,0,0,0,0,40,0,3.0,20,0,0,0,15,30,10,5,0,0,0,0,0,0.0,15,0,0,0,0,0,0
32,march 14 Traditional ChipChco,45,0,0,0,0,0,0,68,0,0,0,0,0.5,0,0.25,0,0,0,0.25,0,0.75,0.25,0.125,0,0,0,4,22,0,10,0.0,14,0,36,0,40,0,2.0,12,0,0,0,15,45,25,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
33,march 14 Protein ChipChco,22,0,30,0,0,0,0,0,26,30,0,0,0.5,0,0.25,0,0,0.25,0.25,0,0.5,0.25,0.125,0,0,0,10,60,0,30,0.0,0,0,0,0,40,0,3.0,20,0,0,0,15,20,15,10,0,0,0,0,0,0.0,18,0,0,0,0,0,0
34,march 13 Traditional ChipChco,60,0,0,0,0,0,0,68,0,0,0,0,0.5,0,0.25,0,0,0,0.25,0,0.75,0.25,0.125,0,0,0,4,22,0,10,0.0,20,0,36,0,40,0,0.0,12,0,0,0,0,45,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
35,march 13 Protein ChipChco,30,0,30,0,0,0,0,0,26,30,0,0,0.5,0,0.25,0,0,0.25,0.25,0,0.5,0.25,0.125,0,0,0,10,60,0,30,0.0,0,0,20,0,30,0,3.0,20,0,0,0,0,15,15,15,0,0,0,0,0,0.0,0,0,0,0,0,0,0
36,march 12 Traditional ChipChco,60,0,0,0,0,0,0,54,0,0,0,0,0.5,0,0.25,0,0,0,0.25,0,0.75,0.25,0.125,0,0,0,7,45,0,22,0.0,28,0,28,0,28,0,0.0,14,0,0,0,0,20,15,20,0,0,0,0,0,0.0,0,0,0,0,0,0,0
37,march 12 Protein ChipChco,30,0,30,0,0,0,0,0,26,30,0,0,0.5,0,0.25,0.125,0,0.25,0.25,0,0.5,0.25,0.125,0,0,0,9.5,60,0,30,0.0,0,0,28,0,50,0,0.0,18,0,0,0,0,45,0,15,0,0,0,0,0,0.0,0,0,0,0,0,0,0
38,march 11 Traditional ChipChco,130,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0.375,0,0.75,0.25,0.25,0,0,0,2.5,15,0,0,0.0,0,0,28,0,84,0,0.0,24,0,0,0,0,30,15,15,0,0,0,0,0,0.0,0,0,0,0,0,0,0
39,march 11 Protein ChipChco,30,0,30,0,0,0,0,0,26,30,0,0,0.5,0,0.25,0,0,0.25,0.375,0,0.5,0.25,0.25,0,0,0,7,45,0,0,0.0,0,0,28,0,84,0,0.0,24,0,0,0,0,30,15,15,0,0,0,0,0,0.0,0,0,0,0,0,0,0
40,march 9 Traditional ChipChco,120,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.125,0,0,0,0.375,0,0.75,0.25,0,0.5,0,0,7,45,0,0,0.0,14,0,28,0,108,0,0.0,24,0,0,0,0,60,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
41,march 9 Protein ChipChco,30,0,30,0,0,0,0,0,30,26,0,0,0.5,0,0.125,0,0,0.25,0.375,0,0.5,0.25,0,0.5,0,0,7,45,0,0,0.0,0,0,42,0,107,0,0.0,14,0,0,0,0,45,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
42,march 7 Traditional ChipChco,120,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.75,0.25,0,0.5,0,10,0,30,0,0,0.0,0,0,14,0,0,0,0.0,0,0,80,0,0,45,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
43,march 7 Protein ChipChco,30,0,30,0,0,0,0,0,30,26,0,0,0.25,0,0,0,0,0.25,0.25,0,0.5,0.25,0,0.5,0,20,0,60,0,0,0.0,0,0,28,0,0,0,0.0,0,0,80,0,0,45,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
44,march 6 Traditional ChipChco,0,0,0,0,0,130,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0.75,0.25,0,0,0,10,0,30,0,0,0.0,0,0,28,0,0,0,0.0,0,0,80,0,0,45,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
45,march 6 Protein ChipChco,0,0,0,0,0,90,0,0,30,0,0,0,0.5,0,0,0,0,0.25,0.25,0,0.5,0.25,0,0,0,10,0,30,0,0,0.0,0,0,28,0,0,0,0.0,0,0,80,0,0,45,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
46,march 5 Traditional ChipChco,0,0,0,0,0,90,0,0,26,0,0,0,0.5,0,0,0,0,0.25,0.125,0,0,0.25,0,0,0,4,0,15,0,0,0.0,0,0,30,0,0,0,0.0,0,0,80,0,0,30,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
47,march 5 Protein ChipChco,0,0,0,0,0,60,0,0,26,30,0,0,0.5,0,0,0,0,0.25,0.125,0,0,0.25,0,0,0,4,0,15,0,0,0.0,0,0,30,0,0,0,0.0,0,0,80,0,0,30,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
48,march 4 Protein cookie,0,0,31,0,0,30,0,0,26,30,0,0,0.5,0,0,0,0,0.25,0.125,0,0.5,0.25,0,0,0,4,0,8,0,0,0.0,0,0,0,0,0,0,0.0,0,0,70,0,0,16,28,0,0,0,0,0,0,0.0,10,0,0,0,0,0,0
49,march 2 Traditional ChipChco,0,0,0,0,0,120,0,0,0,0,0,0,0.5,0,0,0,0,0,0.125,0,0.5,0.25,0,0,0,4,0,14,0,0,0.0,0,0,0,0,0,0,0.0,0,0,70,0,0,0,0,0,56,0,0,0,0,0.0,18,0,0,0,0,0,0
50,march 2 Protein ChipChco,0,0,0,0,0,60,0,0,26,30,0,0,0.5,0,0,0,0,0,0.125,0,0.5,0.25,0,0,0,4,0,14,0,0,0.0,0,0,0,0,0,0,0.0,0,0,70,0,0,0,0,0,56,0,0,0,0,0.0,18,0,0,0,0,0,0
51,march 1 protein,45,0,30,0,0,0,0,0,0,30,0,0,0.5,0,0,0,0,0.125,0.125,0,0.5,0.25,0,0,0,44,13,14,0,0,0.0,0,0,0,0,0,0,0.0,0,0,70,0,0,28,15,0,0,0,0,0,0,0.0,18,0,0,0,0,0,0
52,february 29 traditional,0,0,0,0,0,0,114,0,0,0,0,0,0.5,0,0,0,0,0.125,0.25,0,0.5,0.25,0,0,0,4,0,14,0,0,0.0,30,0,50,0,0,0,0.0,0,0,0,0,0,28,25,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
53,2/27/2024 0:00,0,0,38,0,0,38,0,0,0,30,0,0,0.5,0,0.25,0,0,0,0.25,0,2,0.25,0,0,0,7,13,29,0,0,0.0,0,0,0,0,0,0,0.0,0,0,96,0,0,28,0,0,22,0,0,0,0,0.0,0,0,0,0,0,0,0
